Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54542922973633,35.424697482052096,26.900123201294626,29.0514868911543,855215656
1,2007-10-08,30.879323959350586,33.64536052774602,30.68521528319679,33.64536052774602,126671715
2,2007-10-09,32.9821662902832,33.27332717981798,29.229413747593593,30.89550520408466,116725709
3,2007-10-10,33.28949737548828,33.96887558934333,32.9983365375293,33.83946906605695,67931378
4,2007-10-11,37.00990676879883,38.82158101766896,32.99834518139679,38.82158101766896,106320954
5,2007-10-12,36.76727294921875,38.14220367043771,35.90996408298535,36.233477193860395,99410791
6,2007-10-15,37.252532958984375,37.75398078361257,36.9290199319699,37.52751990953193,41814972
7,2007-10-16,41.05381393432617,41.700844422111814,37.042252992785215,37.301061677558216,138614496
8,2007-10-17,44.25660705566406,45.29184642634732,34.32475013602845,36.88050514839878,204876259
9,2007-10-18,42.70374298095703,48.34904899278738,40.875894629309066,44.96833494637907,146617799
10,2007-10-19,42.55815887451172,44.28895480297188,40.439145478534954,41.733197853020734,110266491
11,2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
12,2007-10-23,44.98451232910156,45.388903743345445,43.02725525140456,43.02725525140456,74594921
13,2007-10-24,44.28895950317383,46.424147025259316,43.78751152208772,45.93887294539988,63055170
14,2007-10-25,44.191917419433594,45.22716152344246,39.03187958177636,42.784633973897165,34522489
15,2007-10-26,45.5182991027832,46.24620350425056,43.755151130724876,44.968325133170474,62370025
16,2007-10-29,46.44029998779297,47.55642153117774,46.03590876017902,46.262369602813095,43657697
17,2007-10-30,47.47557067871094,48.75344506253978,45.68006995935886,47.07117921776608,79921711
18,2007-10-31,48.4622688293457,49.529864582852305,47.55643399721294,47.718190530659996,44655368
19,2007-11-01,47.37849807739258,50.031306919488635,46.99028503889122,49.65926777878566,50632492
20,2007-11-02,48.23583221435547,48.52699763150498,45.29186094572812,45.663904670323824,32001693
21,2007-11-05,49.2225227355957,50.30629232830092,47.91229225321719,48.203457507919005,38833135
22,2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
23,2007-11-07,49.141639709472656,51.503282985177385,48.04169632610232,50.79155697849123,33593141
24,2007-11-08,48.300514221191406,49.61074482709531,47.23292281305665,47.87994897263577,27990521
25,2007-11-12,49.46516036987305,50.33864740840499,45.56682526878262,46.844703642204024,35153735
26,2007-11-13,50.64598846435547,51.66505387693669,48.704909816418926,50.30630145613752,43830531
27,2007-11-14,49.982784271240234,52.24737584245198,49.7239711732027,51.53564530775749,36738579
28,2007-11-15,50.82392501831055,51.71358609524621,49.86955956242675,50.920977198805254,29242252
29,2007-11-16,50.468055725097656,51.61652545129008,49.88572952432617,50.59746008484893,18895294
30,2007-11-19,52.2959098815918,54.1884625744143,51.228318305090724,51.61653142930581,40716718
31,2007-11-20,51.487117767333984,53.54142665500563,50.856265520876896,52.08561782896024,26342171
32,2007-11-21,47.47557067871094,52.10180723674885,46.32709629687063,51.794472359187665,26814499
33,2007-11-22,45.841819763183594,48.882846610027244,43.85221494720686,46.974115686349094,34096185
34,2007-11-23,48.88283920288086,49.174000089990145,46.132973703948856,48.85048701810719,27664090
35,2007-11-26,49.27106475830078,50.694521758184834,48.882851606293116,50.694521758184834,20159123
36,2007-11-27,48.057884216308594,50.11219335595317,47.55644064766986,50.11219335595317,20573198
37,2007-11-28,47.34614562988281,49.33575444432481,47.022632572305476,49.109293548850005,16435311
38,2007-11-29,46.06827926635742,48.78578851962412,45.469779133762835,48.52697978614249,25530967
39,2007-11-30,47.847599029541016,48.13875993741204,46.262385741863504,46.90941193176675,18437721
40,2007-12-03,48.526981353759766,49.12548150568832,48.057885572752305,48.42992478462329,16851227
41,2007-12-04,47.8961296081543,49.25488648955349,47.540264292747125,48.85049508293797,14008727
42,2007-12-05,49.804840087890625,49.98277488210315,47.87994024670438,47.97699239778308,27725290
43,2007-12-06,48.88283920288086,51.6488742123094,48.25198695753834,50.88861761579908,24104710
44,2007-12-07,48.672542572021484,49.88571635170741,47.79906008340322,49.19016426227268,11742386
45,2007-12-10,48.72108459472656,49.31958029104971,48.090232324422594,49.14164984964451,8330010
46,2007-12-11,48.49462127685547,49.432808298355596,48.251986475367836,49.15782131241758,11685950
47,2007-12-12,48.4622688293457,48.8990123472381,47.55643399721294,47.87994706410704,16342131
48,2007-12-13,47.65350341796875,49.1740171381365,47.47557292191713,48.526990770052926,14620172
49,2007-12-14,47.18440628051758,47.92848921661546,46.94177139899337,47.491745552286226,10991851
50,2007-12-17,44.337486267089844,47.718200260649056,43.67428171197001,47.45938712160436,19355678
51,2007-12-18,44.143375396728516,45.6153583256099,42.76844464788838,43.836036180052076,21607783
52,2007-12-19,43.33458709716797,45.95504389252686,42.96254793704477,45.56682644583409,19526912
53,2007-12-20,42.8978385925293,44.2565951104765,42.70372989169021,43.90072989025924,17105204
54,2007-12-24,44.20807647705078,44.90362874992519,43.18900672301207,43.54487200315835,16711519
55,2007-12-26,45.550655364990234,46.10062938383899,44.45071171521992,44.45071171521992,20930094
56,2007-12-27,45.8741569519043,47.13585683326729,45.48593957859595,46.48883080303744,44565277
57,2007-12-28,46.23003005981445,46.424138779696335,45.29183864503983,45.77710825078111,18354518
